"","n","lm_intercept","k","R2","RMSE","MAE"
"1",10,TRUE,5,-0.297392626976533,0.140452131010683,0.0917369047619048
"2",11,TRUE,5,-0.120319266462979,0.130515930062196,0.09337
"3",12,TRUE,5,-0.288114668623521,0.139949026910991,0.09512
"4",13,TRUE,5,-0.691244203628145,0.160359901471658,0.120123333333333
"5",14,TRUE,5,-0.63765758815439,0.157798972535734,0.11203
"6",15,TRUE,5,-0.533914146236369,0.152719026319578,0.117613333333333
"7",16,TRUE,5,-0.354334638723462,0.143501226591738,0.113431666666667
"8",17,TRUE,5,-0.0856030389538087,0.128477815983928,0.09328
"9",18,TRUE,5,0.285382510275711,0.104238809012803,0.0832765151515152
"10",19,TRUE,5,0.0472265745654985,0.120361457424432,0.082575
"11",20,TRUE,5,0.0816879948469662,0.118164698479143,0.092895
"12",21,TRUE,5,0.256239927229096,0.106343034898523,0.0880630952380953
"13",22,TRUE,5,-0.0834326000642256,0.128349319307376,0.0956016666666667
"14",23,TRUE,5,0.170059567913185,0.112335256540113,0.0868179487179488
"15",24,TRUE,5,0.144824402477618,0.114030300824706,0.0837240740740741
"16",25,TRUE,5,-0.00743864965221475,0.123766162181893,0.0943944444444444
"17",26,TRUE,5,0.311917033536551,0.102285252985481,0.0836653846153846
"18",27,TRUE,5,-2.42129914116148,0.228080493685892,0.140723333333333
"19",28,TRUE,5,-0.926724494472683,0.171160059767665,0.141986111111111
"20",29,TRUE,5,-0.898943090023396,0.169921602384129,0.131847222222222
"21",30,TRUE,5,-0.0477668528725237,0.126219061790441,0.0994361111111112
"22",31,TRUE,5,-0.118251722856816,0.130395441197862,0.101135
"23",32,TRUE,5,0.0324902818677826,0.121288685180688,0.0886519230769231
"24",33,TRUE,5,-0.00301043039526827,0.123493854142703,0.101456060606061
"25",34,TRUE,5,0.16480305713252,0.112690438327423,0.0871529411764707
"26",35,TRUE,5,-0.248230875176238,0.137765375575589,0.10965
"27",36,TRUE,5,-0.902022729785797,0.170059333033211,0.133634523809524
"28",37,TRUE,5,-0.636719111409395,0.15775375188354,0.128281666666667
"29",38,TRUE,5,0.162606790691282,0.11283850863341,0.0876202380952381
"30",39,TRUE,5,0.173479172810354,0.112103590090784,0.0901128205128205
"31",40,TRUE,5,0.456202380382492,0.0909308542868768,0.0650801282051282
"32",41,TRUE,5,0.373190127378204,0.0976248847718745,0.0830287878787879
"33",42,TRUE,5,0.627698949798463,0.0752384345486623,0.0579016666666667
"34",43,TRUE,7,-0.242587452522512,0.137453594714725,0.107701666666667
"35",44,TRUE,5,-0.220045464061266,0.136201103886863,0.100855
"36",45,TRUE,5,-0.66873630930787,0.15928925387483,0.125846666666667
"37",46,TRUE,5,0.324309287755512,0.101359998355696,0.08476
"38",47,TRUE,5,0.417010737492282,0.0941505579732094,0.078525
"39",48,TRUE,5,0.324136021909848,0.101372993280591,0.0786916666666667
"40",49,TRUE,5,0.527923018424321,0.0847225526842371,0.0664633333333334
"41",50,TRUE,5,0.27939231117875,0.104674782222526,0.0836083333333334
"42",51,TRUE,5,0.275894787666649,0.104928498194405,0.08433
"43",52,TRUE,5,0.278269914169035,0.104756269661216,0.0839916666666667
"44",53,TRUE,5,0.539222821239469,0.0837024366431468,0.0661483333333334
"45",54,TRUE,5,0.514666391244819,0.0859038846618708,0.0688733333333334
"46",55,TRUE,5,0.531257603861986,0.0844227972765651,0.069685
"47",56,TRUE,5,0.459879800998581,0.0906228736762046,0.0787116666666666
"48",57,TRUE,5,0.496238326091019,0.0875195713350258,0.0755183333333333
"49",58,TRUE,5,0.570853995835306,0.0807783832571938,0.0629648148148148
"50",59,TRUE,5,0.547522531323571,0.0829451695535272,0.0665037037037037
"51",60,TRUE,5,0.554581411433619,0.0822956327689356,0.0653888888888889
"52",61,TRUE,5,0.554581411433619,0.0822956327689356,0.0653888888888889
"53",62,TRUE,5,0.609871445085102,0.0770187542316893,0.0615190476190476
