"","n","mtry","minnodesize","R2","RMSE","MAE"
"1",2,2,10,0.291787848152661,0.141812010025323,0.119089046127843
"2",3,3,3,0.297590494887036,0.14122985573264,0.10288144563492
"3",4,2,4,0.481771763132776,0.121308675784123,0.0902834442436263
"1",5,2,2,0.517361795870721,0.117069071450837,0.0824628970376379
"2",6,3,4,0.465736128781484,0.123171215967773,0.0875935332870363
"3",7,3,2,0.544539127542714,0.113725240100856,0.0849220951642384
"4",8,3,2,0.48853005927639,0.12051507714835,0.0870157652507888
"5",9,3,2,0.0235792832465408,0.166513641364431,0.111464060272366
"6",10,5,3,0.268049401936038,0.144169107708315,0.0975006152777776
"7",11,5,2,0.0929286083580987,0.160491508996433,0.10503258595238
"8",12,4,3,0.411319391152786,0.129291862216275,0.0875447724603172
"9",13,6,2,0.263918541356984,0.144575354108161,0.0963945749999993
"10",14,2,3,0.51965241299339,0.116790934174122,0.0787062256529869
"11",15,4,2,0.361639666711635,0.134636952219048,0.0929728045274165
"12",16,10,2,0.182905893644236,0.152323659378184,0.101158633333333
"13",17,4,3,0.574063592566837,0.109977465607376,0.083671499662698
