"","n","C","sigma","R2","RMSE","MAE"
"1",2,0.947368421052632,0.1,0.523213673354493,0.116357189202859,0.0860797639596605
"2",3,0.631578947368421,0.1,0.728486672938114,0.0878065475012548,0.0678619946312105
"3",4,1.57894736842105,0.1,0.631799255935259,0.102252434414887,0.0742961627796258
"1",5,2,1,0.175983193441346,0.15296756742329,0.127235180160876
"2",6,2,0.1,0.654623535618068,0.0990324891863398,0.0686075403708987
"3",7,2,0.1,0.576141708188196,0.109708851170479,0.0769385766569568
"4",8,1.78947368421053,0.1,0.502837996002546,0.118817467229382,0.0802419106370982
"5",9,2,0.1,0.0949621770237151,0.160311504624603,0.0978206275561862
"6",10,2,0.1,0.270412312204568,0.14393621354692,0.0893121301222679
"7",11,1.47368421052632,0.1,0.519379406824265,0.116824118598544,0.0730154561838061
"8",12,1.05263157894737,0.1,0.706671093051932,0.0912659455236866,0.0682467449939245
"9",13,1.89473684210526,0.1,0.360390536551513,0.134768615228941,0.079437241481056
"10",14,2,0.1,0.312017162837984,0.139771983296245,0.0834314996970711
"11",15,2,0.1,0.273089730127717,0.143671864506983,0.0929159089604018
"12",16,1.57894736842105,0.1,0.632686753652736,0.102129127286883,0.0811636017685469
"13",17,1.15789473684211,0.01,0.794747412900019,0.0763441291449168,0.0676809573086226
