"","n","k","distance","kernel","R2","RMSE","MAE"
"1",2,23,2,"optimal",0.347187314491482,0.131225683745936,0.102194444444444
"2",3,15,2,"optimal",0.0081635054014203,0.161750113406664,0.10798079356694
"3",4,5,2,"optimal",0.185342994067885,0.146592567087374,0.106620693556362
"1",5,15,2,"optimal",0.368771169037529,0.129038101615268,0.0983451976228286
"2",6,15,2,"optimal",0.436294336052092,0.121941280448932,0.0873036189753228
"3",7,7,2,"optimal",0.207041128330013,0.144627168258761,0.091905585448839
"4",8,5,2,"optimal",-0.811096389221198,0.218572406616676,0.139598974333446
"5",9,5,2,"optimal",-0.853590156320523,0.221121722605911,0.144319719093967
"6",10,5,2,"optimal",-0.236782251695199,0.180622219219719,0.101716087178718
"7",11,23,2,"optimal",-0.530942801209371,0.200957414393875,0.125170024816112
"8",12,23,2,"optimal",-0.657896755239559,0.20912371846291,0.134824901395654
"9",13,5,2,"optimal",-0.35406917168984,0.188992677173323,0.12074794398832
"10",14,5,2,"optimal",-0.276679258322647,0.183512416092959,0.117328297072039
"11",15,5,2,"optimal",-0.209467294798732,0.178616516962591,0.114155046064957
"12",16,5,2,"optimal",-0.20089099386109,0.177982107793239,0.111625156438263
"13",17,5,2,"optimal",-0.279376344593286,0.183706156096879,0.110064765314034
"14",18,5,2,"optimal",0.143179550934806,0.150338240539237,0.0872543441279691
"15",19,5,2,"optimal",-0.0543939835105878,0.166773103759293,0.0988489588333153
"16",20,5,2,"optimal",-0.0458048872612831,0.166092447690517,0.0971305600580371
"17",21,5,2,"optimal",-0.0546606558866654,0.166794192161195,0.0985069764352858
"18",22,23,2,"optimal",-0.076824710697053,0.168537698223637,0.104626007058219
"19",23,23,2,"optimal",-0.107490027692435,0.170920621747193,0.109715709963213
"20",24,23,2,"optimal",-0.115966801607369,0.171573491566154,0.111476980508154
"21",25,23,2,"optimal",-0.27058382168708,0.183073806844134,0.121503867057084
"22",26,23,2,"optimal",-0.496545847981472,0.198687051522039,0.130500788210265
"23",27,23,2,"optimal",-0.702068231759589,0.211891255729395,0.138289907240154
"24",28,5,2,"optimal",-0.509550222156978,0.199548439088947,0.131147224872045
"25",29,23,2,"optimal",-0.510428574774199,0.199606485652153,0.131197206776728
"26",30,23,2,"optimal",-0.0728284675716946,0.168224674361771,0.10159659649738
"27",31,5,2,"optimal",-0.00326112749377727,0.162679018859973,0.100522158799666
"28",32,23,2,"optimal",-0.0204251071474244,0.164064689009947,0.10592969708758
"29",33,5,2,"optimal",-0.272665973010298,0.18322375024973,0.119192962030683
"30",34,5,2,"optimal",-0.235842336683518,0.180553572615931,0.113876779526369
"31",35,5,2,"optimal",-0.564507559217774,0.203148389966022,0.132234281991697
"32",36,5,2,"optimal",-0.272478736673206,0.183210271691146,0.115593114070164
"33",37,5,2,"optimal",-0.63647767211316,0.207768447148742,0.134304784656765
"34",38,5,2,"optimal",-0.686626679566031,0.210927902850297,0.136622422691137
"35",39,5,2,"optimal",-0.65026057828103,0.208641556719043,0.136914790092553
"36",40,5,2,"optimal",-0.349790697700624,0.188693859351364,0.123330426800215
"37",41,23,2,"optimal",0.0482902503543575,0.158444369619368,0.109610015670936
"38",42,23,2,"optimal",-0.00647737228092726,0.162939567620922,0.109738764861043
"39",43,23,2,"optimal",-0.10934756460125,0.171063899943349,0.112641374537515
"40",44,23,2,"optimal",-0.0683819833264712,0.167875697310497,0.10971374227627
"41",45,23,2,"optimal",0.0461231185033165,0.15862466334395,0.108465119959054
"42",46,23,2,"optimal",0.247610610564008,0.140878877610793,0.105955338031897
