"","n","k","R2","RMSE","MAE"
"1",2,7,0.407472105699636,0.125019843799044,0.0965059523809524
"2",3,5,0.53375568607759,0.11089994378101,0.0870381349206349
"3",4,5,0.460264978499201,0.11932044137796,0.095378134920634
"1",5,7,0.449704645422706,0.120482085141883,0.0895154761904762
"2",6,7,0.481524928601229,0.116946840138446,0.090075
"3",7,7,0.579979757858006,0.10525910240666,0.0751714285714286
"4",8,5,0.647082775502801,0.0964852617415392,0.0705633333333333
"5",9,5,0.631436579682294,0.0986008517542657,0.072975
"6",10,5,0.66377744122112,0.0941755090243743,0.0688616666666667
"7",11,5,0.60020621723446,0.102693408746618,0.0763833333333334
"8",12,5,0.612697846893753,0.101076339961437,0.0757583333333334
"9",13,5,0.37425551167982,0.128476314029733,0.08924
"10",14,5,0.697838995889562,0.0892778574638378,0.0687683333333334
"11",15,5,0.711619352264991,0.0872182981565986,0.0652233333333334
"12",16,5,0.710956614052114,0.0873184604384052,0.0645533333333333
"13",17,5,0.721856495534658,0.0856562412592723,0.0632
"14",18,5,0.77169069777872,0.0776044017222391,0.057435
"15",19,5,0.775130442545866,0.0770175828409764,0.0572066666666666
"16",20,5,0.745142761634362,0.0819922941501212,0.061355
"17",21,5,0.732330687194318,0.0840279645911605,0.0648516666666667
"18",22,5,0.574653775906192,0.105924358545772,0.0759133333333333
"19",23,5,0.591386064521991,0.10382002729082,0.0736366666666667
"20",24,5,0.574599647104475,0.105931098203817,0.0792683333333333
"21",25,5,0.574599647104475,0.105931098203817,0.0792683333333333
"22",26,5,0.497567125290022,0.115123391628287,0.0857416666666667
"23",27,5,0.284896939875656,0.137343740180129,0.0919216666666667
"24",28,5,0.539697781172994,0.1101909902548,0.0832766666666667
"25",29,5,0.545623134162503,0.109479462762048,0.0811983333333333
"26",30,5,0.537519409975211,0.110451420844943,0.0813916666666667
"27",31,5,0.666520480641266,0.0937905613588062,0.07545
"28",32,5,0.658490580633386,0.0949130424827554,0.075985
"29",33,5,0.405813789656058,0.125194668949334,0.09143
"30",34,5,0.393209124501435,0.126515597984333,0.0925066666666667
"31",35,5,0.392781775495251,0.126560141171434,0.0931166666666667
"32",36,5,0.268281582613613,0.138930162911683,0.094175
"33",37,5,0.64503823582439,0.0967643400225517,0.0755283333333333
"34",38,5,0.6512555292552,0.0959131638514756,0.0727533333333333
"35",39,5,0.643089209755825,0.097029633446008,0.074295
"36",40,5,0.648554915897593,0.096283814666156,0.0735683333333333
"37",41,5,0.644163347080285,0.0968835161418082,0.076035
"38",42,5,0.63950719728674,0.0975153201638936,0.0777233333333333
"39",43,5,0.644225994202357,0.0968749873118271,0.0767283333333333
"40",44,5,0.644225994202357,0.0968749873118271,0.0767283333333333
"41",45,5,0.645235360195205,0.0967374677499192,0.07665
"42",46,5,0.402167738777154,0.125578191843435,0.0908566666666667
"43",47,5,0.423024246558766,0.123368229837885,0.08647
"44",48,5,0.44700548679365,0.120777201629005,0.091265
"45",49,5,0.490600776941328,0.115918750424597,0.0872283333333333
"46",50,5,0.466356625022773,0.118645183635915,0.0907433333333333
"47",51,5,0.544738613815115,0.109585970969524,0.0803383333333333
"48",52,5,0.544738613815115,0.109585970969524,0.0803383333333333
"49",53,5,0.544738613815115,0.109585970969524,0.0803383333333333
"50",54,5,0.538938159544712,0.110281875059625,0.0815916666666667
"51",55,5,0.383506469503824,0.127523085883825,0.088115
"52",56,5,0.384586370373625,0.12741134695675,0.0879033333333333
"53",57,5,0.350428492090389,0.130899514386672,0.0898666666666667
"54",58,5,0.396825758679624,0.126138001279022,0.085895
"55",59,5,0.308839572823272,0.135024937202973,0.0914766666666667
"56",60,5,0.310223862431927,0.134889652185283,0.0915666666666667
"57",61,5,0.333965296974487,0.132547939503663,0.0889766666666667
"58",62,5,0.305834545453645,0.135318149558734,0.0919833333333334
"59",63,5,0.234870406316572,0.142066621226334,0.0958233333333334
"60",64,5,0.223228792815782,0.143143328404319,0.0973000000000001
"61",65,5,0.234773429390456,0.14207562411148,0.0957416666666667
"62",66,5,0.253907222189232,0.14028814407022,0.0961916666666667
"63",67,5,0.330090781736174,0.132932915161495,0.0902733333333334
