"","n","lm_intercept","mtry","splitrule","min.node.size","R2","RMSE","MAE"
"1",10,TRUE,3,"variance",3,-0.135016538286135,0.173031688828683,0.116660282198008
"2",11,TRUE,3,"variance",3,-0.214925696862984,0.179019117028543,0.123602317585743
"3",12,TRUE,3,"variance",3,-0.243607240966595,0.181119901291814,0.125266736267806
"4",13,TRUE,3,"variance",3,-0.323186200757163,0.186825018233504,0.128901794651496
"5",14,TRUE,3,"variance",3,-0.204172303333737,0.178225100697569,0.127065082329719
"6",15,TRUE,4,"variance",4,-0.18287410489956,0.176641935210953,0.128419024116529
"7",16,TRUE,3,"variance",3,-0.083449883462279,0.169055367980311,0.115696113690534
"8",17,TRUE,4,"variance",4,-0.202666102958942,0.178113602239869,0.124813535797982
"9",18,TRUE,4,"variance",4,-0.205652890137664,0.178334635134119,0.126920533807728
"10",19,TRUE,5,"variance",5,-0.26450587234562,0.182635407115009,0.127814557274936
"11",20,TRUE,4,"variance",4,-0.0433028231611123,0.165893642532737,0.117325807960524
"12",21,TRUE,3,"variance",3,0.00695800786932255,0.161848380687156,0.108025699796131
"13",22,TRUE,3,"variance",3,-0.0583188462553721,0.167083212480605,0.120544147090535
"14",23,TRUE,4,"variance",4,-0.115206978713476,0.171515072415794,0.123934737945178
"15",24,TRUE,3,"variance",3,0.0146058766167749,0.161223942038075,0.112985208849544
"16",25,TRUE,3,"variance",3,0.224421366568713,0.143033402503788,0.0952729092245664
"17",26,TRUE,3,"variance",3,0.0989462661778321,0.154170008769901,0.103419100093323
"18",27,TRUE,4,"variance",4,0.368938565559271,0.129020990576781,0.0978490060858118
"19",28,TRUE,4,"variance",4,0.358279208543296,0.130106084469318,0.0935515579222203
"20",29,TRUE,3,"variance",3,0.383109114798834,0.127564176125068,0.0915289926817749
"21",30,TRUE,4,"variance",4,0.341565998934442,0.13178945939706,0.0945245844581586
"22",31,TRUE,4,"variance",4,0.407947889123101,0.124969639989802,0.0905998214877339
"23",32,TRUE,4,"variance",4,0.419620880821674,0.123731546548493,0.0860271400799255
"24",33,TRUE,3,"variance",3,0.388731841720448,0.126981495767261,0.0874514321452958
"25",34,TRUE,2,"variance",2,0.521422335964615,0.112357162936589,0.0756512061429675
"26",35,TRUE,4,"variance",4,0.517961166811324,0.112762725689998,0.0765049244157784
"27",36,TRUE,4,"variance",4,0.443287587901935,0.121182526814478,0.0844512808339646
"28",37,TRUE,3,"variance",3,0.473741031451066,0.117821434722833,0.0832388366360624
"29",38,TRUE,5,"variance",5,0.396348971095341,0.126187845211886,0.0870782066242322
"30",39,TRUE,4,"variance",4,0.612280659629263,0.101130763119385,0.0722999908277894
"31",40,TRUE,4,"variance",4,0.526573118606911,0.111750894643879,0.076292482902724
"32",41,TRUE,3,"variance",3,0.531878681636323,0.111122949831002,0.0777085408349278
"33",42,TRUE,4,"variance",4,0.56396818633958,0.107246626583835,0.0740237670408064
"34",43,TRUE,3,"variance",3,0.501874520781044,0.114628848583942,0.0767042330476731
"35",44,TRUE,3,"variance",3,0.567476299582407,0.106814326566702,0.0685127892682482
"36",45,TRUE,6,"variance",6,0.368819837656284,0.129033127011036,0.0882953661338459
"37",46,TRUE,3,"variance",3,0.512425525870091,0.113408350115545,0.0787512092015475
"38",47,TRUE,3,"variance",3,0.518631535301035,0.112684289189932,0.0756388390881563
"39",48,TRUE,5,"variance",5,0.389392249849586,0.126912882448018,0.089410777386048
"40",49,TRUE,3,"variance",3,0.534311681276733,0.110833800100803,0.0760970213256466
"41",50,TRUE,6,"variance",6,0.466449814178992,0.118634823789054,0.082840665955594
"42",51,TRUE,2,"variance",2,0.585667985820432,0.104543924075111,0.0781533186448078
"43",52,TRUE,6,"variance",6,0.588259525809306,0.104216463572885,0.0766735867247828
"44",53,TRUE,4,"variance",4,-2.38922277026565,0.299002355426568,0.196757383605082
"45",54,TRUE,6,"variance",6,-1.76951434073214,0.270287748699109,0.180080066312666
"46",55,TRUE,3,"variance",3,-1.30771826637192,0.246726583864331,0.160629127709031
"47",56,TRUE,4,"variance",4,-1.82087657805844,0.272782555853821,0.16920253223572
"48",57,TRUE,4,"variance",4,-1.5755784084482,0.260652526934054,0.164770351779811
"49",58,TRUE,3,"variance",3,-1.45335308372598,0.254392661915382,0.161273094623
"50",59,TRUE,3,"variance",3,-0.343374006783585,0.1882448147024,0.124630007893772
"51",60,TRUE,5,"variance",5,-2.22352640922821,0.291601778250438,0.189173609087773
"52",61,TRUE,5,"variance",5,-1.64061215645221,0.263922770140702,0.17028861893719
"53",62,TRUE,5,"variance",5,-2.07752079018675,0.284921386803144,0.17959075253449
"54",63,TRUE,3,"variance",3,-0.607598459838301,0.205927023652511,0.128506044117315
"55",64,TRUE,4,"variance",4,-1.03578190541761,0.231734223367307,0.14709148639198
"56",65,TRUE,3,"variance",3,-0.521724117166904,0.200351460934377,0.129484017850243
"57",66,TRUE,3,"variance",3,-1.21995266865476,0.241989437075869,0.153620479976718
"58",67,TRUE,4,"variance",4,-0.772100942719163,0.216206516782475,0.141168478511173
"59",68,TRUE,4,"variance",4,-2.67988415096049,0.311559949706107,0.193582397027812
"60",69,TRUE,5,"variance",5,-2.42186552713507,0.300438801663638,0.186655534983208
"61",70,TRUE,4,"variance",4,-1.56719209038243,0.260227826743257,0.158895423276335
"62",71,TRUE,4,"variance",4,-1.00955546154274,0.230236699096316,0.147946767078386
"63",72,TRUE,4,"variance",4,-0.0379477182434869,0.165467342157007,0.112931266580253
"64",73,TRUE,3,"variance",3,-0.143967250886514,0.173712610859736,0.111989474417574
"65",74,TRUE,4,"variance",4,-0.537444084359759,0.201383654017825,0.134789820185068
"66",75,TRUE,3,"variance",3,-0.363661438972322,0.189660910757726,0.121554129800452
"67",76,TRUE,3,"variance",3,-0.178239865407586,0.176295573591549,0.113468823407226
"68",77,TRUE,6,"variance",6,-0.768562235368775,0.215990537572075,0.139281047998759
"69",78,TRUE,5,"variance",5,-2.14437278747717,0.287999388955363,0.177024441723777
"70",79,TRUE,5,"variance",5,-1.49847946052562,0.256721619359736,0.156399492161087
