"","n","n.trees","interaction.depth","shrinkage","n.minobsinnode","R2","RMSE","MAE"
"1",2,10,2,0.1,10,0.0876068953404386,0.291615437727561,0.222524264637266
"2",3,10,2,0.1,10,0.0489217277301518,0.2977334597426,0.226834599040415
"3",4,10,1,0.1,10,0.0651371403258775,0.295184444298041,0.223036467675988
"1",5,50,2,0.1,10,0.640284286728096,0.183104584709565,0.133887207244257
"2",6,50,1,0.1,10,0.621244936604181,0.187887867684243,0.135152855531741
"3",7,50,1,0.1,10,0.645134012496114,0.181866078315167,0.131516761340755
"4",8,50,1,0.1,10,0.628763949887339,0.186013551885049,0.131647548133557
"5",9,50,1,0.1,10,0.615414558918185,0.189328473681043,0.127039913214301
"6",10,50,1,0.1,10,0.591077759341243,0.195226999659578,0.125038853986208
"7",11,50,1,0.1,10,0.591077759341243,0.195226999659578,0.125038853986208
"8",12,50,2,0.1,10,0.623635968834507,0.187293872718033,0.122048635240056
"9",13,50,1,0.1,10,0.616074738826188,0.189165903122024,0.120404929058339
"10",14,50,1,0.1,10,0.619040436473948,0.188433864183363,0.114222596239502
"11",15,50,2,0.1,10,0.644920987237733,0.181920657025494,0.111113884861833
"12",16,50,2,0.1,10,0.644920987237733,0.181920657025494,0.111113884861833
"13",17,50,2,0.1,10,0.624256674564968,0.187139364924821,0.112832482748244
"14",18,50,2,0.1,10,0.617038561766254,0.188928308690515,0.121555463741359
"15",19,50,2,0.1,10,0.615331393293214,0.189348943475283,0.121456725724716
"16",20,50,2,0.1,10,0.644005274509676,0.182155083435728,0.10373635475134
"17",21,50,2,0.1,10,0.660833280099686,0.177797696331324,0.108008128954028
"18",22,50,2,0.1,10,0.627942810104166,0.186219160631134,0.100117795390938
"19",23,50,1,0.1,10,0.627942810104166,0.186219160631134,0.100117795390938
"20",24,50,2,0.1,10,0.623926847352891,0.18722148230592,0.100670481258433
"21",25,50,2,0.1,10,0.616489419801685,0.189063715661996,0.100335490023257
"22",26,50,2,0.1,10,0.616489419801685,0.189063715661996,0.100335490023257
"23",27,50,2,0.1,10,0.605387859529502,0.191780627461449,0.107626346896465
"24",28,50,2,0.1,10,0.604840922755237,0.191913486472662,0.110712340159087
"25",29,100,1,0.1,10,0.674557340617475,0.174163343728363,0.120111495667246
"26",30,100,1,0.1,10,0.662299530741959,0.177412961722481,0.122275307384287
"27",31,100,1,0.1,10,0.644004126883668,0.182155377043649,0.126431554150194
"28",32,100,1,0.1,10,0.702870603397278,0.166414944497646,0.11585408174864
"29",33,100,1,0.1,10,0.691696483404557,0.169515241697162,0.117753982647408
"30",34,100,1,0.1,10,0.691696483404557,0.169515241697162,0.117753982647408
"31",35,100,1,0.1,10,0.688101531984306,0.17050068760483,0.110656649159639
"32",36,100,1,0.1,10,0.692991807684488,0.169158761283475,0.110345493241602
"33",37,50,2,0.1,10,0.607311530485728,0.191312606467816,0.117263175716234
"34",38,100,1,0.1,10,0.661239583018518,0.177691168528764,0.120357561339011
"35",39,50,2,0.1,10,0.607311530485728,0.191312606467816,0.117263175716234
"36",40,50,2,0.1,10,0.594682604648294,0.194364585073201,0.120459019201761
"37",41,50,2,0.1,10,0.594682604648294,0.194364585073201,0.120459019201761
"38",42,50,2,0.1,10,0.602681751669951,0.192437085163903,0.121011038962062
"39",43,50,2,0.1,10,0.602681751669951,0.192437085163903,0.121011038962062
"40",44,50,2,0.1,10,0.602681751669951,0.192437085163903,0.121011038962062
"41",45,50,2,0.1,10,0.602681751669951,0.192437085163903,0.121011038962062
"42",46,50,2,0.1,10,0.601123587503017,0.192814056480388,0.122148767502845
"43",47,50,2,0.1,10,0.606943421618233,0.191402254339026,0.119656036229526
"44",48,50,2,0.1,10,0.606943421618233,0.191402254339026,0.119656036229526
"45",49,50,2,0.1,10,0.606943421618233,0.191402254339026,0.119656036229526
"46",50,50,2,0.1,10,0.606943421618233,0.191402254339026,0.119656036229526
"47",51,100,1,0.1,10,0.680252438993983,0.172632728293088,0.102216976895921
"48",52,100,1,0.1,10,0.679957367527532,0.172712364937685,0.105961233227979
"49",53,100,1,0.1,10,0.679957367527532,0.172712364937685,0.105961233227979
"50",54,100,1,0.1,10,0.680982980391848,0.172435404704459,0.10722422878371
"51",55,100,1,0.1,10,0.680982980391848,0.172435404704459,0.10722422878371
"52",56,100,1,0.1,10,0.680982980391848,0.172435404704459,0.10722422878371
"53",57,100,1,0.1,10,0.613328972262312,0.189841138768244,0.112574626369236
"54",58,100,1,0.1,10,0.613328972262312,0.189841138768244,0.112574626369236
"55",59,100,1,0.1,10,0.601884698407447,0.192630010809421,0.115748236734979
"56",60,100,1,0.1,10,0.592183681011984,0.19496282725215,0.119268063935427
"57",61,100,1,0.1,10,0.591695885894397,0.195079391363996,0.12130450525413
"58",62,100,1,0.1,10,0.57983847738774,0.197891733605958,0.127134715322221
"59",63,100,1,0.1,10,0.57983847738774,0.197891733605958,0.127134715322221
"60",64,100,1,0.1,10,0.600510737536755,0.192962123313053,0.127512704624083
"61",65,100,1,0.1,10,0.640643319754437,0.183013183357181,0.118912871863528
"62",66,100,1,0.1,10,0.640643319754437,0.183013183357181,0.118912871863528
"63",67,100,2,0.1,10,0.640643319754437,0.183013183357181,0.118912871863528
"64",68,100,2,0.1,10,0.640643319754437,0.183013183357181,0.118912871863528
"65",69,100,2,0.1,10,0.640643319754437,0.183013183357181,0.118912871863528
"66",70,100,2,0.1,10,0.636047041695006,0.184179861002006,0.118275136070252
"67",71,100,2,0.1,10,0.636047041695006,0.184179861002006,0.118275136070252
"68",72,100,1,0.1,10,0.636047041695006,0.184179861002006,0.118275136070252
"69",73,100,1,0.1,10,0.639390794889299,0.18333184887913,0.112249977059593
"70",74,100,1,0.1,10,0.64167131618442,0.182751226851168,0.112447112346102
"71",75,100,2,0.1,10,0.67831654183397,0.173154538192786,0.110159264200116
"72",76,100,2,0.1,10,0.67831654183397,0.173154538192786,0.110159264200116
"73",77,100,1,0.1,10,0.67831654183397,0.173154538192786,0.110159264200116
"74",78,100,1,0.1,10,0.699473385758042,0.167363590093324,0.101069427452791
"75",79,100,1,0.1,10,0.692057529694157,0.169415955158867,0.103089496876286
"76",80,100,1,0.1,10,0.692057529694157,0.169415955158867,0.103089496876286
"77",81,100,1,0.1,10,0.692057529694157,0.169415955158867,0.103089496876286
"78",82,100,1,0.1,10,0.692733378802663,0.169229942305582,0.101691992098254
"79",83,100,1,0.1,10,0.692733378802663,0.169229942305582,0.101691992098254
"80",84,100,1,0.1,10,0.692733378802663,0.169229942305582,0.101691992098254
"81",85,100,1,0.1,10,0.692733378802663,0.169229942305582,0.101691992098254
"82",86,100,1,0.1,10,0.692733378802663,0.169229942305582,0.101691992098254
"83",87,100,2,0.1,10,0.68087134653472,0.172465572288686,0.108443707126312
"84",88,100,2,0.1,10,0.668977467242208,0.175650056013806,0.102217729392589
"85",89,100,2,0.1,10,0.668977467242208,0.175650056013806,0.102217729392589
