"","n","n.trees","interaction.depth","shrinkage","n.minobsinnode","R2","RMSE","MAE"
"1",2,100,2,0.1,10,0.614252002599848,0.148403347237569,0.095234409507491
"2",3,100,2,0.1,10,0.728943671888598,0.124400358500919,0.0904287638036428
"3",4,100,2,0.1,10,0.739656041692172,0.121917376408316,0.0879037829054049
"4",5,100,2,0.1,10,0.750066737776401,0.119454876990214,0.0874234055899356
"5",6,100,2,0.1,10,0.75659420966664,0.117884663784335,0.0850333837177818
"6",7,100,2,0.1,10,0.737059616699877,0.122523812592391,0.0856712419916665
"7",8,100,2,0.1,10,0.776522173883484,0.112955940393716,0.0806752238932755
"8",9,100,2,0.1,10,0.750595453158528,0.119328461108078,0.080408946506707
"9",10,100,2,0.1,10,0.783530077059823,0.111170776159862,0.0747524791197193
"10",11,100,2,0.1,10,0.804712151794309,0.105591623317885,0.0699400025513039
"11",12,100,2,0.1,10,0.802199882727781,0.106268641532352,0.0692625497428723
"12",13,100,2,0.1,10,0.793974479280757,0.108455696255297,0.0679280580395867
"13",14,100,2,0.1,10,0.793974479280757,0.108455696255297,0.0679280580395867
"14",15,100,2,0.1,10,0.791014067774583,0.109232125104171,0.0677087938056839
"15",16,100,2,0.1,10,0.797765424697997,0.107453251139198,0.0667061349214808
"16",17,100,2,0.1,10,0.800908214418084,0.106615053046501,0.0673091859374628
"17",18,100,2,0.1,10,0.791222226830133,0.109177711583367,0.0680306212523782
"18",19,100,2,0.1,10,0.800296624600614,0.106778682806169,0.0676100621102171
"19",20,100,2,0.1,10,0.837566481650659,0.0963007528181389,0.0620287073999503
"20",21,100,2,0.1,10,0.82797752537356,0.0991024638662032,0.0632862229406187
"21",22,100,2,0.1,10,0.789173506070669,0.109712080235366,0.0691873570944182
"22",23,100,2,0.1,10,0.790392916050293,0.109394335500056,0.0697517497739058
"23",24,100,2,0.1,10,0.785367519510141,0.110697950139475,0.0710690273976996
"24",25,100,2,0.1,10,0.771200844637146,0.114292850672458,0.0725640515397361
"25",26,100,2,0.1,10,0.793487411937045,0.108583821264682,0.0695809856595627
"26",27,100,2,0.1,10,0.783448774942299,0.111191651048343,0.0696236492027558
"27",28,100,2,0.1,10,0.777422051984837,0.112728291166624,0.0704175273723406
"28",29,100,2,0.1,10,0.800267554789048,0.106786454140105,0.0684227838660371
"29",30,100,2,0.1,10,0.807643723556084,0.104796079893764,0.0690030197097703
"30",31,100,2,0.1,10,0.803725960220433,0.105857903155638,0.0691380789729619
"31",32,100,2,0.1,10,0.803725960220433,0.105857903155638,0.0691380789729619
"32",33,100,2,0.1,10,0.794036561569432,0.108439354383842,0.0683168476532477
"33",34,100,2,0.1,10,0.769699710783021,0.114667171053974,0.070932814290075
"34",35,100,2,0.1,10,0.784794343167532,0.110845661105819,0.0686721891934136
"35",36,100,2,0.1,10,0.783044202887348,0.111295469540978,0.0692175436345703
"36",37,100,2,0.1,10,0.788387958284316,0.109916285949888,0.0687111008617853
"37",38,100,2,0.1,10,0.796780841382236,0.107714502763211,0.0683997693349166
"38",39,100,2,0.1,10,0.796780841382236,0.107714502763211,0.0683997693349166
"39",40,100,2,0.1,10,0.796780841382236,0.107714502763211,0.0683997693349166
"40",41,100,2,0.1,10,0.79767464155057,0.107477366327765,0.06797219653181
"41",42,100,2,0.1,10,0.79767464155057,0.107477366327765,0.06797219653181
