"","n","k","distance","kernel","R2","RMSE","MAE"
"1",2,9,2,"optimal",0.459158547579554,0.175722284897901,0.0847426956521739
"2",3,17,2,"optimal",0.847914691143274,0.0931827425747386,0.0675384620290377
"3",4,11,2,"optimal",0.840849952501763,0.0953224602365542,0.0677022561411739
"4",5,5,2,"optimal",0.858834652379613,0.0897751020497246,0.059824956110949
"5",6,11,2,"optimal",0.86513610012932,0.0877485024847744,0.0658916130045875
"6",7,5,2,"optimal",0.852758661125012,0.0916867830983115,0.0610645165551387
"7",8,5,2,"optimal",0.838855176748729,0.0959179825698332,0.0612285147631724
"8",9,5,2,"optimal",0.698376985772782,0.131227270097745,0.0701017324998175
"9",10,7,2,"optimal",0.688467434756462,0.133365525978599,0.0735772871188855
"10",11,7,2,"optimal",0.692378213854367,0.132525789837318,0.0729928055952299
"11",12,5,2,"optimal",0.698719041253479,0.131152839868483,0.0684188015985966
"12",13,5,2,"optimal",0.691393243861884,0.132737786533167,0.0690554686502583
"13",14,5,2,"optimal",0.695251450958388,0.131905431750649,0.0683916750267658
"14",15,5,2,"optimal",0.671042506727351,0.137044543417166,0.0699384483814469
"15",16,5,2,"optimal",0.671405334121363,0.136968945150044,0.0689849169427653
"16",17,5,2,"optimal",0.677536851826192,0.135685019478264,0.0684445248041445
"17",18,5,2,"optimal",0.675944665971455,0.136019584455825,0.0680213052660546
"18",19,5,2,"optimal",0.676150277608077,0.135976425704664,0.0680454171557226
"19",20,7,2,"optimal",0.789716344519057,0.109570745244559,0.0619352061028139
"20",21,5,2,"optimal",0.802864979027489,0.106089828710658,0.0614774687495801
"21",22,5,2,"optimal",0.792188561425098,0.108924752272805,0.0639524299805474
"22",23,7,2,"optimal",0.775028690446965,0.113332749400899,0.0670152734495306
"23",24,5,2,"optimal",0.797788909897921,0.10744701176507,0.0639449751343503
"24",25,5,2,"optimal",0.787182673807509,0.110228868079924,0.0659789497413829
"25",26,5,2,"optimal",0.833479852339963,0.0975046325910215,0.0609189363371698
"26",27,5,2,"optimal",0.82116916506812,0.101044588272674,0.0625611693736592
"27",28,5,2,"optimal",0.827529551382301,0.0992314192856083,0.0621406907175959
"28",29,5,2,"optimal",0.829981543535507,0.0985235134967843,0.0626757134816771
"29",30,5,2,"optimal",0.829103894113988,0.0987774794582943,0.0627263490553861
"30",31,5,2,"optimal",0.829895353793666,0.0985484832572382,0.0624006240505307
"31",32,5,2,"optimal",0.831568890080136,0.0980625114827519,0.0619491591621552
"32",33,5,2,"optimal",0.812527321680405,0.103457230526915,0.064462975872857
"33",34,5,2,"optimal",0.805736539626098,0.105314317289187,0.0656181391381306
"34",35,5,2,"optimal",0.81414399901419,0.103010181093104,0.0649168618705747
"35",36,5,2,"optimal",0.839972663616467,0.0955848239931284,0.060903338081498
"36",37,5,2,"optimal",0.834096876954552,0.0973238178531824,0.0607381486968581
"37",38,5,2,"optimal",0.832949824803081,0.0976596861454767,0.06043883334887
"38",39,5,2,"optimal",0.835586404668574,0.0968859316386399,0.059012881330141
"39",40,5,2,"optimal",0.843462736418385,0.0945367624882966,0.0578939282815418
"40",41,5,2,"optimal",0.852309181343428,0.0918266213810357,0.0567724172930308
"41",42,5,2,"optimal",0.853589800784758,0.0914276426774432,0.0565185901866478
"42",43,5,2,"optimal",0.855747537846998,0.0907514293144811,0.0556215346343636
"43",44,5,2,"optimal",0.863701633383318,0.0882139323370167,0.0549894362856433
"44",45,5,2,"optimal",0.864772230969791,0.0878667975452567,0.0545976680671389
"45",46,5,2,"optimal",0.864161446471357,0.0880650083654215,0.0547915041276867
"46",47,5,2,"optimal",0.86739297597056,0.0870111925214941,0.0543932570737901
"47",48,5,2,"optimal",0.869324652047714,0.0863751250426481,0.0536085505438344
"48",49,5,2,"optimal",0.873268569308488,0.0850616935979908,0.0532734960796532
"49",50,5,2,"optimal",0.869017341435619,0.086476630052346,0.0545355558269125
"50",51,5,2,"optimal",0.869759877474765,0.0862311652028909,0.0541665771419419
"51",52,5,2,"optimal",0.867398128151584,0.0870095021820387,0.0548566983467098
"52",53,5,2,"optimal",0.868119580947927,0.0867724811500673,0.0535593133255532
"53",54,5,2,"optimal",0.867581737740987,0.0869492416711303,0.0538959770015209
"54",55,5,2,"optimal",0.867785136648539,0.0868824375271154,0.0547343155426255
"55",56,7,2,"optimal",0.860581605857452,0.0892178790273552,0.0573674122812666
"56",57,5,2,"optimal",0.866340775003913,0.087355715618636,0.0548479139596422
"57",58,5,2,"optimal",0.864575196161823,0.0879307877887078,0.0547134577769553
"58",59,5,2,"optimal",0.853122470372794,0.0915734415260569,0.055584430882776
"59",60,5,2,"optimal",0.851992736323066,0.0919249434328027,0.0552706825490358
"60",61,5,2,"optimal",0.856319457473808,0.0905713489550215,0.0544591858157053
"61",62,5,2,"optimal",0.85079001883204,0.0922976820352599,0.0553126239369191
"62",63,5,2,"optimal",0.851269572357476,0.0921492425694767,0.0548906963118437
"63",64,5,2,"optimal",0.852279022364979,0.0918359965600573,0.0537659908894409
"64",65,5,2,"optimal",0.842915390349543,0.0947018962427347,0.0566211228367981
"65",66,5,2,"optimal",0.845248644827588,0.0939959381762082,0.0567176601147525
"66",67,5,2,"optimal",0.843971892134684,0.0943828913396272,0.0568480521626831
"67",68,5,2,"optimal",0.845777775140702,0.0938351037597306,0.0563741191282078
"68",69,5,2,"optimal",0.866058426573387,0.087447934233478,0.0544182050441474
"69",70,5,2,"optimal",0.866253647964221,0.0873841828081372,0.0543247374681933
"70",71,5,2,"optimal",0.868678472860915,0.0865884207418586,0.0534056491209393
