"","n","k","R2","RMSE","MAE"
"1",2,5,0.519883802939728,0.165563666387088,0.0899535921325052
"2",3,5,0.837356331821984,0.0963630276660346,0.0712717080745341
"3",4,5,0.826615773033373,0.0994939446534516,0.0742221428571429
"4",5,5,0.841990160917118,0.094980384181292,0.0678099689440994
"5",6,5,0.831645791780107,0.0980401224038656,0.0743280124223603
"6",7,5,0.820984260941472,0.10109681286339,0.0742491666666667
"7",8,5,0.831844559017942,0.0979822298218895,0.069170652173913
"8",9,5,0.760572708259748,0.116917274563275,0.0708310869565217
"9",10,5,0.726996074709955,0.12484648003953,0.0777810869565217
"10",11,5,0.662339458376709,0.138845565256166,0.0810956521739131
"11",12,5,0.687814637623373,0.133505182442969,0.0756052173913044
"12",13,5,0.678422421956525,0.135498577691877,0.0781460869565217
"13",14,5,0.671178641211337,0.137016183493522,0.0796021739130435
"14",15,5,0.665087759314107,0.138279361942158,0.0789326086956522
"15",16,5,0.659522083241779,0.139423612434723,0.0780465217391304
"16",17,5,0.658912719392516,0.139548322034372,0.0782386956521739
"17",18,5,0.657417875387064,0.139853778920202,0.0785434782608696
"18",19,5,0.657439376944546,0.139849390014542,0.0782405072463768
"19",20,5,0.711287217168033,0.128388126924828,0.074272463768116
"20",21,5,0.736287819107521,0.122703500268985,0.0732163043478261
"21",22,5,0.721929362204372,0.125999674447475,0.0744536956521739
"22",23,5,0.725853538034927,0.125107452024945,0.0733376086956522
"23",24,5,0.733088005008998,0.123445681665011,0.0712165217391304
"24",25,5,0.76868758685805,0.114918864516402,0.0695815217391304
"25",26,5,0.838796226856503,0.0959355252919557,0.0638897826086957
"26",27,5,0.845290732790356,0.0939831551974585,0.062164347826087
"27",28,5,0.844136820190314,0.0943329948731574,0.0627278260869565
"28",29,5,0.846344958042687,0.0936623961943616,0.0626069565217391
"29",30,5,0.846982752261479,0.093467806245508,0.0623836956521739
"30",31,5,0.846945649407364,0.093479137360906,0.0622378260869565
"31",32,5,0.846278238579843,0.0936827288383974,0.0633197826086957
"32",33,5,0.840100762668043,0.0955465593537927,0.0649858695652174
"33",34,5,0.8332376842877,0.0975755066825063,0.0668060869565218
"34",35,5,0.836660521483901,0.0965689343332568,0.0656421739130435
"35",36,5,0.853221029843104,0.0915427120315263,0.0621206521739131
"36",37,5,0.851224959300884,0.0921630620386922,0.0625763043478261
"37",38,5,0.847497855748345,0.0933103528204575,0.0619076086956522
"38",39,5,0.843480530174414,0.0945313892887943,0.0630102173913044
"39",40,5,0.844850240908551,0.0941168556266277,0.0625182608695652
"40",41,7,0.810250613829262,0.104083538005595,0.071305900621118
"41",42,7,0.811942844038094,0.103618377692227,0.0706817158385093
"42",43,7,0.813665018038094,0.103142832631087,0.0695307841614907
"43",44,5,0.896969752323679,0.076696267382675,0.0542954347826087
"44",45,5,0.896974703046558,0.0766944246882449,0.0540623913043478
