"","n","mtry","minnodesize","R2","RMSE","MAE"
"1",2,2,7,0.468709186645521,0.174163847303449,0.0886376065931341
"2",3,3,5,0.73988151967321,0.121864570038829,0.0775717379017016
"3",4,4,6,0.771727665378584,0.114161192528127,0.0757870319517798
"4",5,5,2,0.823981393893763,0.100246944716342,0.0678404913092505
"5",6,5,2,0.835590028899553,0.0968848637861633,0.0661359038006137
"6",7,6,2,0.850380894706331,0.0924241325545224,0.0603777393701516
"7",8,8,2,0.831464309681043,0.0980929507085148,0.0636226798805095
"8",9,5,3,0.783348411245167,0.111217414727277,0.0659530195311539
"9",10,5,2,0.82236244218729,0.100706905996761,0.060538059783613
"10",11,8,7,0.770731410217067,0.11441003971059,0.0655393964171875
"11",12,7,3,0.833948835369647,0.0973672310187069,0.055490381551116
"12",13,6,2,0.823206933244675,0.100467239900587,0.0568484068038534
"13",14,5,4,0.812070902946322,0.103583091834662,0.0603611608588842
"14",15,5,2,0.828522381060656,0.0989453932115788,0.0561989693812574
"15",16,8,2,0.832501151840379,0.0977907482002859,0.0539960545140609
"16",17,6,2,0.832725214010704,0.0977253192733204,0.0551600924671249
"17",18,10,3,0.843370235751197,0.0945646900945851,0.0566292436163402
"18",19,10,7,0.84691578614467,0.093488256526311,0.0559301745140386
"19",20,9,8,0.853122018846312,0.0915735822821081,0.055552354312659
"20",21,6,3,0.864835898057156,0.0878461106636712,0.0534799426576323
"21",22,10,7,0.868962467333005,0.0864947424903714,0.0532314641262089
"22",23,3,2,0.858779387964184,0.0897926732282595,0.0562470397312296
"23",24,9,4,0.868372681721841,0.086689175646118,0.0537296091666667
"24",25,6,3,0.864088805816327,0.0880885519203672,0.0542150446047431
"25",26,8,2,0.885875869173605,0.0807198967998577,0.0526724866153775
"26",27,7,2,0.886267697541114,0.0805812077264859,0.0522724904227055
"27",28,9,4,0.882276045122148,0.0819830890839594,0.0522340257608697
"28",29,7,3,0.883010642597707,0.0817269015690874,0.0523835292095647
"29",30,10,3,0.880404351062268,0.0826322439101145,0.0530210536956522
"30",31,6,2,0.883525744244567,0.0815467821821648,0.0530247658155312
"31",32,8,2,0.883928973575429,0.0814055039114158,0.0521579492913609
"32",33,8,2,0.876080175073848,0.0841128313396702,0.0532432910879701
"33",34,7,3,0.88114942871966,0.0823744434382678,0.0522782137577642
"34",35,10,4,0.88318581226729,0.081665693278059,0.052581538742236
"35",36,10,4,0.882177763209373,0.0820173037594161,0.0522061516045549
"36",37,9,4,0.880054685351891,0.0827529530412758,0.0526241029347826
"37",38,8,3,0.884794236684771,0.0811015135727592,0.0504928418294749
"38",39,9,2,0.887692092343446,0.0800750142505383,0.050355501594203
"39",40,8,2,0.882211383199317,0.082005601309459,0.0507485336151892
"40",41,8,2,0.883306026615346,0.0816236610756623,0.0506120729347829
"41",42,7,4,0.874440463451035,0.0846674945576846,0.052579450615942
"42",43,8,2,0.885655392934996,0.0807978305023056,0.0517285571135266
"43",44,6,3,0.879540564036333,0.0829301152941742,0.052489646047805
"44",45,9,2,0.881002826853954,0.0824252321103573,0.0515815172282609
"45",46,8,3,0.889223574711328,0.0795271702844765,0.0514748314026916
"46",47,9,3,0.891311634971954,0.078774088099671,0.0502822705072464
"47",48,9,5,0.889387367568353,0.0794683545166756,0.051436934689441
