"","n","lm_intercept","k","R2","RMSE","MAE"
"1",10,TRUE,5,0.708344758717457,0.129040711575885,0.0762900621118012
"2",11,TRUE,5,0.722727381874297,0.125818744767155,0.069570652173913
"3",12,TRUE,5,0.740973325875266,0.121608547468471,0.0672652173913044
"4",13,TRUE,5,0.731220346874095,0.123876820818489,0.0708382637299771
"5",14,TRUE,5,0.717590563367669,0.126978870238847,0.0719332298136646
"6",15,TRUE,5,0.754295519101398,0.118439998955414,0.0701503105590062
"7",16,TRUE,5,0.735974351289881,0.12277640584152,0.0727640269151139
"8",17,TRUE,5,0.735954543918544,0.122781011137,0.0723310276679842
"9",18,TRUE,5,0.68085355587217,0.134985419792368,0.0787847826086956
"10",19,TRUE,5,0.750790927791876,0.119281689187244,0.0668747101449275
"11",20,TRUE,5,0.82819816897378,0.0990388868811506,0.0616764302059497
"12",21,TRUE,5,0.767741779847559,0.115153569145539,0.0668295652173913
"13",22,TRUE,5,0.733056288778973,0.123453015759033,0.071599347826087
"14",23,TRUE,5,0.733683309521125,0.12330794189663,0.0701884782608696
"15",24,TRUE,5,0.759001633783414,0.117300241354138,0.0636854347826087
"16",25,TRUE,5,0.867494120683825,0.0869780027225775,0.0555535869565217
"17",26,TRUE,5,0.845579850284989,0.0938952972383509,0.0602578260869565
"18",27,TRUE,5,0.844407186317528,0.0942511425833176,0.0620373913043478
"19",28,TRUE,5,0.819109215687069,0.101624887400333,0.0656552173913044
"20",29,TRUE,5,0.820093738629849,0.101347956372438,0.0658182608695652
"21",30,TRUE,5,0.825760162483915,0.0997391321964671,0.0661428260869565
"22",31,TRUE,5,0.767710816620885,0.115161244669867,0.0689171739130435
"23",32,TRUE,5,0.784957867636672,0.110803539948945,0.0659728260869565
"24",33,TRUE,5,0.767461283434067,0.115223083190826,0.0716628260869565
"25",34,TRUE,5,0.791595024831199,0.109080193017319,0.0684784782608696
"26",35,TRUE,5,0.773078805706152,0.113822831953493,0.0743771739130435
"27",36,TRUE,5,0.753215581015051,0.118700001593348,0.0747080434782609
"28",37,TRUE,5,0.724367392634625,0.125446096859931,0.0768678260869565
"29",38,TRUE,5,0.736583837076731,0.122634613349186,0.0739730434782609
"30",39,TRUE,5,0.734208184231689,0.123186370205262,0.0725576086956522
"31",40,TRUE,5,0.740264522328666,0.12177481930757,0.0704934782608696
"32",41,TRUE,5,0.81855683069056,0.101779934748413,0.0666389130434783
"33",42,TRUE,5,0.797030198142604,0.107648397815174,0.0692484782608696
"34",43,TRUE,5,0.78520653633178,0.110739456363358,0.0701576086956522
"35",44,TRUE,5,0.784183422271891,0.111002882669188,0.0727667391304348
"36",45,TRUE,5,0.778194197197761,0.112532588420074,0.0742858695652174
"37",46,TRUE,5,0.781748344531658,0.111627353843433,0.0734932608695652
"38",47,TRUE,5,0.757499625432369,0.11766520705873,0.070160652173913
"39",48,TRUE,5,0.781014169977215,0.111814947282864,0.0701614130434783
"40",49,TRUE,7,0.764300369681263,0.116003557280362,0.0685837528604119
"41",50,TRUE,7,0.76448988244265,0.115956911947756,0.0682023455377574
"42",51,TRUE,7,0.749778594252232,0.119523715835536,0.0679523657289003
"43",52,TRUE,7,0.760253679888998,0.116995142692696,0.0707177018633541
"44",53,TRUE,5,0.747400603261789,0.120090322475102,0.0746754347826087
"45",54,TRUE,5,0.765120212694363,0.115801631737396,0.0669726086956522
"46",55,TRUE,5,0.794959822359853,0.108196033882144,0.0649917391304348
"47",56,TRUE,5,0.79666560858732,0.107745037492906,0.0633652173913044
"48",57,TRUE,5,0.78876804852278,0.109817527665709,0.066614347826087
"49",58,TRUE,5,0.782753072074355,0.111370117645389,0.0678452173913043
"50",59,TRUE,5,0.844614646889038,0.0941882864728712,0.063560652173913
"51",60,TRUE,5,0.849154910139429,0.0928020234271533,0.0615763043478261
"52",61,TRUE,5,0.831508992304485,0.0980799465165824,0.0639754347826087
"53",62,TRUE,5,0.832581180890389,0.0977673837539236,0.0638397826086956
"54",63,TRUE,5,0.798632769146832,0.107222580583367,0.0656806521739131
"55",64,TRUE,5,0.801238332541923,0.10652662608577,0.0668580434782609
"56",65,TRUE,5,0.829783769025722,0.0985808007368222,0.0629302173913044
"57",66,TRUE,5,0.834912781897118,0.0970842055617968,0.0618576086956522
"58",67,TRUE,5,0.758022993222393,0.117538165106155,0.0667628260869565
"59",68,TRUE,5,0.757744461258175,0.117605792854959,0.0671165217391304
"60",69,TRUE,5,0.570549600136668,0.156584353027509,0.0674163043478261
"61",70,TRUE,5,0.581391456381185,0.15459516261626,0.0684330434782609
