"","n","lm_intercept","mtry","splitrule","min.node.size","R2","RMSE","MAE"
"1",10,TRUE,3,"variance",3,0.813540122173219,0.103177393922884,0.063315927950406
"2",11,TRUE,3,"variance",3,0.828210463667494,0.0990353430464943,0.058928572880971
"3",12,TRUE,3,"variance",3,0.829552687439327,0.0986476935397761,0.0589072032272551
"4",13,TRUE,4,"variance",4,0.830341215698207,0.0984192456220872,0.0562454047658682
"5",14,TRUE,3,"variance",3,0.831487688836736,0.0980861467790314,0.0567529062366434
"6",15,TRUE,3,"variance",3,0.831830593772451,0.0979862984308987,0.0572035051989362
"7",16,TRUE,6,"variance",6,0.834047810585136,0.0973382087015426,0.0561171218754885
"8",17,TRUE,5,"variance",5,0.849773057060769,0.0926116818819236,0.0555894670920446
"9",18,TRUE,6,"variance",6,0.846899349022728,0.0934932754521256,0.0553766155032087
"10",19,TRUE,4,"variance",4,0.857909986962972,0.0900686458978842,0.0553187282488342
"11",20,TRUE,6,"variance",6,0.868783179384486,0.0865538941084221,0.0521608468141439
"12",21,TRUE,6,"variance",6,0.867813742335499,0.0868730381820198,0.0524498712815174
"13",22,TRUE,7,"variance",7,0.852398606149091,0.091798817279119,0.0545612827845127
"14",23,TRUE,4,"variance",4,0.858508347803126,0.0898788000122653,0.0545397167974038
"15",24,TRUE,5,"variance",5,0.85936152083029,0.0896074125771798,0.053167177037765
"16",25,TRUE,6,"variance",6,0.858748386990674,0.0898025284027004,0.0550989901705496
"17",26,TRUE,5,"variance",5,0.870613999736447,0.0859479456102826,0.0544423520575664
"18",27,TRUE,6,"variance",6,0.870594080101123,0.0859545614181761,0.0541865243988101
"19",28,TRUE,5,"variance",5,0.868556403389045,0.0866286553777185,0.0543351217934793
"20",29,TRUE,6,"variance",6,0.870192428800752,0.0860878513561227,0.0535632148273183
"21",30,TRUE,7,"variance",7,0.866486686246979,0.0873080209623239,0.0548767412333285
"22",31,TRUE,5,"variance",5,0.861760797066996,0.0888397784936253,0.0559594437327783
"23",32,TRUE,5,"variance",5,0.865141882682246,0.0877466212704558,0.0553454886791169
"24",33,TRUE,4,"variance",4,0.869177176205906,0.0864238513422662,0.0562415771210875
"25",34,TRUE,7,"variance",7,0.867459777373499,0.0869892736149599,0.0545685494970358
"26",35,TRUE,6,"variance",6,0.868012218792435,0.0868077941458349,0.0551296536785433
"27",36,TRUE,6,"variance",6,0.870430963770552,0.0860087172759757,0.0541375780650112
"28",37,TRUE,6,"variance",6,0.87457143234728,0.0846233254656423,0.0530427667242553
"29",38,TRUE,7,"variance",7,0.865373073024011,0.0876713759923604,0.0542562065872959
"30",39,TRUE,4,"variance",4,0.861810675145054,0.0888237499102502,0.0566543173177091
"31",40,TRUE,8,"variance",8,0.861458835224942,0.0889367538419783,0.054241411949631
"32",41,TRUE,4,"variance",4,0.868781991565465,0.0865542858650907,0.05560623806014
"33",42,TRUE,4,"variance",4,0.860380996829442,0.0892820437253046,0.0570350457912352
"34",43,TRUE,6,"variance",6,0.869107932153242,0.0864467202342441,0.0548724999106941
"35",44,TRUE,6,"variance",6,0.86895027028254,0.0864987678874054,0.055056317885158
"36",45,TRUE,8,"variance",8,0.875225313882953,0.0844024589769991,0.0526353092839116
"37",46,TRUE,7,"variance",7,0.876646095112111,0.0839205473055641,0.0534016124762397
"38",47,TRUE,7,"variance",7,0.874044122136224,0.0848010200033009,0.054915025440343
"39",48,TRUE,6,"variance",6,0.878663267101257,0.0832315543201009,0.0541562738747931
"40",49,TRUE,6,"variance",6,0.876286218167751,0.0840428745023506,0.0541063501230363
"41",50,TRUE,6,"variance",6,0.869988099140725,0.0861555800119779,0.0549023805380739
"42",51,TRUE,7,"variance",7,0.8700170400318,0.0861459902820551,0.0551641132596369
"43",52,TRUE,8,"variance",8,0.869652509430431,0.0862667017335624,0.0559165432180732
"44",53,TRUE,8,"variance",8,0.870590958959649,0.0859555979809898,0.0563610836072715
"45",54,TRUE,9,"variance",9,0.870077242434631,0.086126038450468,0.0550295507897865
"46",55,TRUE,5,"variance",5,0.867329620205624,0.0870319757432379,0.0570259084875245
"47",56,TRUE,10,"variance",10,0.869422046285844,0.0863429307240887,0.056183262909573
"48",57,TRUE,10,"variance",10,0.864779425884541,0.0878644599982738,0.0554020982102641
"49",58,TRUE,10,"variance",10,0.871957138993638,0.0855006745885733,0.0552272105356537
"50",59,TRUE,8,"variance",8,0.876331101079236,0.0840276278942992,0.0552769665111212
"51",60,TRUE,10,"variance",10,0.872042088869624,0.0854723072249114,0.0548501030124793
"52",61,TRUE,7,"variance",7,0.865312233660394,0.087691183576067,0.0571021986231929
"53",62,TRUE,10,"variance",10,0.869766699586044,0.0862289067348504,0.0557701187264729
"54",63,TRUE,8,"variance",8,0.868575366855045,0.0866224061618619,0.0563562442887353
"55",64,TRUE,10,"variance",10,0.870194372720516,0.0860872067538833,0.0557826410112173
"56",65,TRUE,9,"variance",9,0.871551269646152,0.0856360770882152,0.0558010282719813
"57",66,TRUE,9,"variance",9,0.86796751437535,0.0868224938523422,0.0560447111413383
"58",67,TRUE,8,"variance",8,0.869239913662847,0.0864031261251496,0.0566542590836939
"59",68,TRUE,10,"variance",10,0.870478703038262,0.0859928710075369,0.0552335354538239
"60",69,TRUE,8,"variance",8,0.868107538015121,0.0867764429637769,0.0572282263786532
"61",70,TRUE,10,"variance",10,0.86581928041648,0.0875259664324343,0.0569155992933181
"62",71,TRUE,10,"variance",10,0.867361119465348,0.0870216433481941,0.0572482860518187
"63",72,TRUE,10,"variance",10,0.870386086742431,0.0860236108090927,0.0567113510529256
"64",73,TRUE,9,"variance",9,0.869659238357192,0.0862644750324304,0.0576863097213526
"65",74,TRUE,9,"variance",9,0.869730859550271,0.0862407709604351,0.0571565088718064
"66",75,TRUE,8,"variance",8,0.869209698867285,0.0864131081543417,0.0567772567250951
"67",76,TRUE,9,"variance",9,0.871230902191243,0.085742804210733,0.0566782952466049
"68",77,TRUE,9,"variance",9,0.869573270903308,0.0862929186090072,0.057070270523537
"69",78,TRUE,10,"variance",10,0.872709733229336,0.0852490317153259,0.0562053668640886
"70",79,TRUE,9,"variance",9,0.866653902163221,0.087253330293964,0.0581390265211052
"71",80,TRUE,8,"variance",8,0.869004193043407,0.0864809703219987,0.0574240533604927
"72",81,TRUE,10,"variance",10,0.862786010013784,0.0885097375749982,0.0585010041894531
"73",82,TRUE,9,"variance",9,0.873490350785152,0.0849872315301355,0.0555144154156569
"74",83,TRUE,10,"variance",10,0.868956002623661,0.0864968760640972,0.0570174730794363
"75",84,TRUE,10,"variance",10,0.868261971887865,0.0867256244896036,0.0561832036188577
"76",85,TRUE,9,"variance",9,0.866236682375157,0.0873897249298566,0.0573704572846481
"77",86,TRUE,10,"variance",10,0.867013222999466,0.0871356924731638,0.0576168390462248
"78",87,TRUE,10,"variance",10,0.867046653299795,0.0871247396719766,0.056828176177402
"79",88,TRUE,9,"variance",9,0.869981884426848,0.0861576391537824,0.0572061943330774
"80",89,TRUE,9,"variance",9,0.857633930855043,0.0901560972761177,0.0582867608398451
"81",90,TRUE,9,"variance",9,0.860112489530301,0.0893678535546584,0.0585074019411899
"82",91,TRUE,9,"variance",9,0.862375905626475,0.0886419075897735,0.0579199480558794
"83",92,TRUE,6,"variance",6,0.858198257985578,0.0899772342551663,0.0590433206442742
"84",93,TRUE,9,"variance",9,0.857387736491003,0.0902340173014937,0.0586963293470262
"85",94,TRUE,9,"variance",9,0.862304565524859,0.0886648792337655,0.0569870489506264
"86",95,TRUE,9,"variance",9,0.863934927381622,0.0881384046717162,0.0576485653687884
"87",96,TRUE,9,"variance",9,0.859477965680663,0.0895703086404051,0.0580044332683874
"88",97,TRUE,10,"variance",10,0.866694718180448,0.0872399755499755,0.0573450728701094
"89",98,TRUE,6,"variance",6,0.85878895129925,0.0897896328365399,0.0588110389911695
"90",99,TRUE,9,"variance",9,0.861510541536204,0.0889201558126645,0.0582574096965479
"91",100,TRUE,10,"variance",10,0.86532704141719,0.0876863629993852,0.0573454292104515
"92",101,TRUE,8,"variance",8,0.861036407689389,0.0890722397068007,0.0584282664216392
"93",102,TRUE,10,"variance",10,0.861671780931613,0.0888683771144127,0.0580982696498951
"94",103,TRUE,8,"variance",8,0.857258547513691,0.0902748784494752,0.0595471651394003
"95",104,TRUE,7,"variance",7,0.857623745822481,0.0901593221539607,0.0585779434261123
"96",105,TRUE,9,"variance",9,0.86153200749763,0.0889132642029122,0.0583795408295675
"97",106,TRUE,9,"variance",9,0.861756123306284,0.0888412802830891,0.0587370833114059
"98",107,TRUE,6,"variance",6,0.855714554147078,0.0907618039964075,0.0603057931968526
"99",108,TRUE,8,"variance",8,0.853655026378606,0.0914072749481376,0.0594072209195122
"100",109,TRUE,10,"variance",10,0.85965138374204,0.0895150222767272,0.058235006042921
"101",110,TRUE,6,"variance",6,0.857602524163069,0.0901660411786566,0.0586295106543578
"102",111,TRUE,6,"variance",6,0.863745997476566,0.0881995746828305,0.0584987404722094
"103",112,TRUE,10,"variance",10,0.852931688565355,0.0916328954030846,0.0595356580979653
"104",113,TRUE,8,"variance",8,0.86123624615143,0.0890081708988968,0.0583229793938385
"105",114,TRUE,9,"variance",9,0.85600706461161,0.0906697564355493,0.0593258038717664
"106",115,TRUE,10,"variance",10,0.851866365770318,0.0919641784239767,0.0597627116673963
"107",116,TRUE,10,"variance",10,0.859800727540873,0.0894673835038614,0.0580370504696528
"108",117,TRUE,9,"variance",9,0.855354949539492,0.0908748370599965,0.0587610339491623
"109",118,TRUE,8,"variance",8,0.859578779958359,0.089538172804276,0.0588997759051146
"110",119,TRUE,10,"variance",10,0.849726879672103,0.0926259144721596,0.0601108120121693
"111",120,TRUE,10,"variance",10,0.859296714500198,0.0896280557850847,0.0586114501903714
