"","n","C","sigma","R2","RMSE","MAE"
"1",2,2,10,0.581804317988492,0.154518907420807,0.0885098718582267
"2",3,2,1,0.78933070793061,0.109671169439537,0.0758633773895855
"3",4,2,1,0.796463591197597,0.10779854779044,0.0723588303358215
"4",5,1.36842105263158,1,0.804096522685304,0.105757926872367,0.0674361700858183
"5",6,1.47368421052632,1,0.797556502633241,0.107508740068637,0.0664070511105286
"6",7,1.78947368421053,1,0.799437672731082,0.107008071362774,0.0619009568058985
"7",8,2,0.1,0.816439303995009,0.102372121719591,0.0697796465857667
"8",9,2,0.1,0.780207230060714,0.112020771049792,0.0668564818138346
"9",10,2,0.1,0.786062793776732,0.110518508828952,0.065331752707941
"10",11,2,0.1,0.804925724205695,0.105533868503835,0.0598274924460827
"11",12,2,0.1,0.801959861235832,0.106333098078452,0.0602780640758675
"12",13,2,0.1,0.81887978802307,0.101689313491433,0.0564974465010061
"13",14,2,0.1,0.817058983746919,0.102199177394579,0.0573871877998545
"14",15,2,0.1,0.803326330928814,0.105965615839573,0.057906379860908
"15",16,2,0.1,0.807465599426694,0.10484458985518,0.0564920923676828
"16",17,2,0.1,0.800607425877536,0.106695559841198,0.0584518146945041
"17",18,2,0.1,0.80274315781924,0.106122603189408,0.0579093340317238
"18",19,2,0.1,0.803626093681229,0.105884830603718,0.0574651313592059
"19",20,2,0.1,0.815417637021267,0.102656619133582,0.0592670883325887
"20",21,2,0.1,0.838265356573504,0.0960933611097274,0.0570540920032587
"21",22,2,0.1,0.839200131382688,0.0958152641641594,0.0569507104050933
"22",23,2,0.1,0.835699055173677,0.0968527345077347,0.0578736757746426
"23",24,2,0.01,0.824875141331977,0.0999921152027232,0.0601102498319991
"24",25,2,0.01,0.825392218219429,0.0998443867939766,0.0610841562421965
"25",26,2,0.01,0.867885082377601,0.0868495926184357,0.0586847259395082
"26",27,2,0.01,0.871309440454825,0.0857166522915546,0.0577924038925706
"27",28,2,0.01,0.875669821773208,0.084251983613274,0.0574577635397026
"28",29,2,0.01,0.873536996690417,0.0849715620856833,0.0580398560791929
"29",30,2,0.01,0.871272856319256,0.0857288351851737,0.0589889810925868
"30",31,2,0.01,0.874540466976034,0.0846337705780665,0.0571081506600882
"31",32,2,0.01,0.877981799637373,0.0834649551160142,0.0559973220453097
"32",33,2,0.01,0.875221014441254,0.0844039131194094,0.0567591185216588
"33",34,2,0.01,0.881647511102175,0.082201653625127,0.0554686197084119
"34",35,2,0.01,0.884607250697009,0.0811673032425155,0.0540898416850579
"35",36,2,0.01,0.884186630884868,0.0813151007473091,0.0538618959030652
"36",37,2,0.01,0.885935785255578,0.0806987047220959,0.0529890152017455
"37",38,2,0.01,0.883332388819428,0.0816144408002313,0.0527210009133135
"38",39,2,0.01,0.883930473033581,0.0814049780931114,0.0525247111801984
"39",40,2,0.01,0.884122260243337,0.0813376956261166,0.0527331194929074
"40",41,2,0.01,0.884574613981926,0.0811787807698507,0.0526664040764612
"41",42,2,0.01,0.886681288408946,0.0804345563118146,0.0522780350753603
"42",43,2,0.01,0.883583211836286,0.0815266623911289,0.0531712957993121
"43",44,2,0.01,0.890245379257366,0.0791595402491651,0.0519612048046352
"44",45,2,0.01,0.891126592646345,0.0788411161646287,0.0523077743829902
"45",46,2,0.01,0.888480346651032,0.079793508608526,0.0527215698035141
"46",47,2,0.01,0.89158031190318,0.0786766633374315,0.0521790140366432
"47",48,2,0.01,0.893076246843487,0.0781320022359207,0.0513140156313053
"48",49,2,0.01,0.892419480138785,0.078371593247626,0.052351810967506
"49",50,2,0.01,0.893103043555994,0.0781222110906739,0.0519687117761745
"50",51,2,0.01,0.893579019383152,0.0779480912188955,0.0517346167930344
"51",52,2,0.01,0.893561731703522,0.0779544221458405,0.0515853503093611
"52",53,2,0.01,0.892082176574721,0.0784943586393506,0.0519259471793621
"53",54,2,0.01,0.890743179161681,0.0789798193651997,0.0512551753309922
"54",55,2,0.01,0.891366686149757,0.0787541358462894,0.0511189087017552
"55",56,2,0.01,0.890381156343282,0.0791105610910329,0.0516562190744115
"56",57,2,0.01,0.892041362555276,0.0785092003370984,0.0511686255982003
"57",58,2,0.01,0.891379989712326,0.0787493134643925,0.0513481974206323
"58",59,2,0.01,0.895291837675963,0.0773182695014536,0.0498070490848355
"59",60,2,0.01,0.895246660376236,0.0773349475419441,0.0494030532178718
"60",61,2,0.01,0.895779859427185,0.07713787732616,0.049366908690863
"61",62,2,0.01,0.892739683671758,0.0782548734081359,0.051363066649189
"62",63,2,0.01,0.892523352737321,0.0783337489100913,0.051917467162995
"63",64,2,0.01,0.894189912489907,0.0777240447759873,0.0517151124659948
"64",65,2,0.01,0.892225725317002,0.0784421359591741,0.0527138401886843
"65",66,2,0.01,0.898347933526978,0.0761815776757573,0.0508636727822005
"66",67,2,0.01,0.895963532257594,0.0770698752106057,0.0509106731599121
"67",68,2,0.01,0.895347868636158,0.0772975796311569,0.0506896603519299
"68",69,2,0.01,0.890289057158671,0.0791437875336075,0.0513807492167329
"69",70,2,0.01,0.890747610239968,0.078978217774981,0.0512984635468369
"70",71,2,0.01,0.891369376597624,0.0787531606150219,0.0511143312241751
"71",72,2,0.01,0.889536927183227,0.0794146116643703,0.0520514509331415
"72",73,2,0.01,0.890305035976401,0.0791380238870079,0.0515874913783549
"73",74,2,0.01,0.88985456939627,0.0793003490753948,0.0516640334257901
"74",75,2,0.01,0.889145412753066,0.0795552218453529,0.0514535124577727
"75",76,2,0.01,0.889668638921478,0.0793672521436242,0.0515778606807067
"76",77,2,0.01,0.889416673225732,0.0794578266655987,0.0516713981437795
"77",78,2,0.01,0.885248108403853,0.0809415996572556,0.0518057287719373
"78",79,2,0.01,0.88544609398238,0.0808717437820046,0.0519766899480739
"79",80,2,0.01,0.885157519654252,0.0809735422756569,0.0521204371443822
"80",81,2,0.01,0.882199646495909,0.0820096868122516,0.0530008693296852
"81",82,2,0.01,0.882946851415528,0.081749180284377,0.0532223846156435
"82",83,2,0.01,0.880714204180532,0.0825251310508194,0.0535956620062645
"83",84,2,0.01,0.880911232299496,0.0824569482006666,0.0534026221626192
"84",85,2,0.01,0.881504280344587,0.0822513790056749,0.0532318708166282
"85",86,2,0.01,0.877097371118498,0.0837668998391549,0.0547562912831525
"86",87,2,0.01,0.87671539901157,0.0838969694613469,0.0553944874852448
"87",88,2,0.01,0.874179276136704,0.0847555109191457,0.0556345839455814
"88",89,2,0.01,0.87307475362819,0.0851267129520852,0.0560365866479015
"89",90,2,0.01,0.874495367716681,0.0846489809702918,0.0554670820566314
"90",91,2,0.01,0.877704565189447,0.0835597206182358,0.0541436602206002
"91",92,2,0.01,0.878055082154001,0.083439887377782,0.0539659845001345
"92",93,2,0.01,0.877864549794157,0.0835050470983881,0.0540206015639329
"93",94,2,0.01,0.877257456496426,0.083712327266137,0.0540283963278021
"94",95,2,0.01,0.876938886512875,0.0838208917152598,0.0541407791499451
"95",96,2,0.01,0.877361514734115,0.0836768350724015,0.0537262467552951
"96",97,2,0.01,0.875564006846399,0.0842878285768374,0.0543760636897608
"97",98,2,0.01,0.869206428033704,0.0864141886669123,0.055459609015909
"98",99,2,0.01,0.872227717157804,0.085410287470383,0.0543736790285252
"99",100,2,0.01,0.871743192467195,0.0855720762165744,0.0547724155203058
"100",101,2,0.01,0.871270301589086,0.0857296858719395,0.0544539153619889
"101",102,2,0.01,0.871033203618936,0.0858085992227772,0.0543566897035598
"102",103,2,0.01,0.869253284118497,0.0863987085741545,0.054910393693139
"103",104,2,0.01,0.868469487197609,0.0866572919515168,0.0550020865425541
"104",105,2,0.01,0.868162341474565,0.0867584125800989,0.0548265188888796
"105",106,2,0.01,0.865801937669569,0.0875316225790242,0.055395966596266
"106",107,2,0.01,0.8657291873607,0.0875553453126712,0.0555243590797576
"107",108,2,0.01,0.865621001141687,0.0875906112588475,0.055606333342593
"108",109,2,0.01,0.86461224792871,0.0879187581832246,0.0558299085886306
"109",110,2,0.01,0.864950311369471,0.0878089229333989,0.0558715787866522
"110",111,2,0.01,0.868090644401021,0.0867820002214806,0.0546200863972776
"111",112,2,0.01,0.867955499648668,0.0868264441104869,0.0546364448099574
"112",113,2,0.01,0.867718915413318,0.0869041928046454,0.0547217252120826
"113",114,2,0.01,0.873433623124908,0.0850062837782883,0.054240360566971
"114",115,2,0.01,0.873381323303662,0.0850238451337435,0.0542766885477524
"115",116,2,0.01,0.873058042152402,0.0851323168260978,0.0544389838896518
"116",117,2,0.01,0.872340725808865,0.0853725083984583,0.0546221715720971
"117",118,2,0.01,0.873398437989061,0.0850180987242307,0.0539831392921981
"118",119,2,0.01,0.872636921676236,0.085273409961891,0.0544539318403635
"119",120,2,0.01,0.872149249409583,0.0854365096061451,0.0544998912139206
